UniversityName,CountryName,Campus,Ranking, ApplicationFees,AverageFees,PopularCategories,OfferTAT,Founded,InstitutionType,CostOfLiving,AdmissionRequirement,UGCOURSE,GrossTuition,PGCOURSE,Amount
Durham University,UK,"Durham, England","6th place in UK, 78th place in QS",0,20700 GBP,,,,UNIVERSITY,,,Business and Management with Study Abroad BA,£ 27600,Behavioural Economics MSc,£ 26000
Durham University,UK,"Durham, England","6th place in UK, 78th place in QS",0,20700 GBP,,,,UNIVERSITY,,,Computer Science BSc,£ 25800,Archaeology of the Historic World BA,£ 20500
Middlesex University ,UK,North London,"6th place in UK,148th QS ranking",0,16000 GBP,"LLM, Accounting  & Finance, Games & Films",3-4 Days,1973,UNIVERSITY,"£16,008.00 GBP / Year","Academic Requirement - 12th - 55%, for PG - 55%-60%. IELTS (6.0/5.5)",Animation BA Honours,£ 16600,Marketing Management MSc,£ 17995
Middlesex University ,UK,North London,"6th place in UK,148th QS ranking",0,16000 GBP,,,,UNIVERSITY,,,Biochemistry BSc Honours,£ 16600,Place Branding MA,£ 12600
Middlesex University ,UK,North London,"6th place in UK,148th QS ranking",0,16000 GBP,,,,UNIVERSITY,,,Business Management BA Honours,£ 16600,Building Information Modelling Management and Integrated Digital Delivery MSc/PGDip/PGCert,£ 12600
University of East Anglia,UK,Norwich Campus,295 in QS Rankings,0,20000 GBP,"Computer Science, Social Science,Law, Pshycology, Engineering ",2 Weeks,1963,UNIVERSITY,"£16,600.00 GBP / Year","Academic Requirement - 12th - 70%, for PG - 70%. English 70% for >CBSE/CISCE/ISC/ICSE","BSc (Hons) Computing Science with a Year in Industry
",£ 26100,MSci Developmental Psychology,£ 20600
University of East Anglia,UK,Norwich Campus,295 in QS Rankings,0,20000 GBP,,,,UNIVERSITY,,,"BSc (Hons) Developmental Psychology
",£ 20600,MSc Business Analytics and Management,£ 22700
University of East Anglia,UK,Norwich Campus,295 in QS Rankings,0,20000 GBP,,,,UNIVERSITY,,,BSc (Hons) Ecology and Conservation,£ 26100,MSc Advanced Computing Science,£ 22900
Crandall University,Canada,Sussex,299,$100.00 CAD,7500USD/Year,,,1949,Private,"$20,635.00 CAD / Year","$16,775.00 CAD / Year",3-Year Bachelor's Degree-77%,,,
Crandall University,Canada,Crandall,,$50.00 CAD,7500USD/Year,"Arts, Sciences, Business Administration, Education, Organizational Management, Social Sciences, Theology, Business and Management",,1949,Private,,,3-Year Bachelor's Degree-77%,,,
University of waterloo,Canada,,201-250,$100.00 CAD,13L - 34L,,,1957,Public,"$20,635.00 CAD / Year","$42,520.00 CAD / Year",Grade 12 / High School-55%,,,
Brighton College,Canada,,,$250.00 CAD,12090-18450,"Dance, art, photography, design and technology, drama and music",,1845,Private,"$20,635.00 CAD / Year","$14,400.00 CAD / Year",Grade 12 / High School-55%,,,
Concordia University of Edmonton,Canada,,#387,$100.00 CAD,," arts, science, and management education, information technology, information security, and psychology. ",,,Private,"$20,635.00 CAD / Year","$25,064.00 CAD / Year",Grade 12 / High School-65%,,,
Winston College,Canada,,#260,$200.00 CAD,,"Diploma of Business Administration, Diploma of Business Administration & Co-op, Diploma of Hospitality Management + Co-op, Diploma of Hospitality Management, Accounting Diploma, Diploma of Sport Management, ESL-LEAP, and Certificate of Bookkeeping & Payroll.",,,,"$20,635.00 CAD / Year","$12,028.57 CAD / Year",,,,
