Country,UniversityName,Founded,InstitutionType,Campus,Email,,Website,Ranking,CourseType,ApplicationFees,ApplicationFeesWaiver,CostOfLiving,AverageFees,PopularCategories,AdmissionRequirement,OfferTAT,PaymentMethod,Amount,Percentage,EligibilityForCommission,Currency,PaymentTAT,Tax,CommissionPaidOn
Canada,Acadia University,1838,Public,"Wolfille, Nova Scotia ",registrar@acadiau.ca.,CAD,,world ranking of 1069 and a country ranking of 39,UG,$40.00 CAD,No ,"$19,543.00 CAD / Year","$19,543.00 CAD / Year","Applied Science,Biology,Classical Studies,Engineering,English.
History,Music Theory.
","Academic Requirement: 70%UG,PG-70%, IELTS:6.5,PTE:90,TOEFL:61,Duolingo:115",,Fixed,"19,543.00",Nil,Nil,CAD,Null,Inclusive,CourseFees
Canada,Langara College,1994,Public,"Vancouver,British columbia",geninfo@langara.ca.,CAD,,"1485 globally in 2022, 218 in Canada for the year 2022.",UG,$155.00 CAD,No ,"$20,635.00 CAD

","$19,138.00 CAD / Year","Bioinformatics,Chemistry, Arts & Science","Academic Requirement: 50%UG,PG-50%, IELTS:6.5,PTE:88,TOEFL:61,Duolingo:110",,Fixed,"19,138.00",Nil,Nil,CAD,Null,Inclusive,CourseFees
Newzealand,Ara Institute of Cantebury,2016,Public,Canterbury, info@ara.ac.nz ,CAD,,"No:13 in Newzealand, No: 4689 in the World",UG,0,0,"$14,995.00 NZD

",£ 20580 NZD,"Accounting, Graduate Diploma in Project Management,Business,Hospitality","Academic Requirement:60%-UG, 60%-PG,IELTS-6.0","Bachelor of Engineering, BBA, Bachelor of Science",Fixed,"19,138.00",Nil,Nil,NZD,Null,Inclusive,CourseFees
Newzealand,Manukau Institute of Technology (MIT),1970,Private,Cantebury,international.application@manukau.ac.nz,,,"No:12 in Newzealand, No:4662 in the World",PG,0,0,"$14,995.00 NZD

",£ 23700 NZD,"Civil Engineering, Mechanical Engineering, Electrical Engineering,Baking, Culinary, Business,Logistics, Social Work","Academic Requirement:70%-UG,70%-PG,IELTS:6.0",,Fixed,"19,138.00",Nil,Nil,NZD,Null,Inclusive,CourseFees
Australia,Central Queensland University,1967,Public,Mackay,tasac@cqu.edu.au,,,QS World Ranking:495,UG,$155.00 AUD,0,"$20,000.00 AUD",£ 31200 NZD,"Allied Health,Business and Accounting, Creative Writing,Education & Teaching","Academic Requirement:65%-UG, 65%-PG, IELTS:6.0",,Fixed,"19,138.00",Nil,Nil,AUD,Null,Inclusive,CourseFees
Australia,Torrens University Australia,2013,Private,Sydney ,studentservices@torrens.edu.au,,,"No:40 in the Australia,7434 in the world",PG,0,0,"$20,000.00 AUD",£ 27600,"Busines,Hospitality,Education,Technology,Finance, Marketing","Academic Requirement:60%-UG, 65%-PG, IELTS:6.0",,Fixed,"19,138.00",Nil,Nil,AUD,Null,Inclusive,CourseFees
Germany,"SRH -  University of Applied Sciences, Berlin",2002,Private,Berlin,studentservice.hsbe@srh.de .,,,"5989 in the world, 182 in the germany",UG,0,0,30084Euro,€12900 / Year,"Software Engineering, Vcomputer Engineering, supply Chain Management, Hospitality Management, MBA General Management","Academic Requirement:60%-UG, 65%-PG, IELTS:6.0",,Fixed,"19,138.00",Nil,Nil,EURO,Null,Inclusive,CourseFees
Germany,Lancaster University,2020,Public,Leipzig,germany@lancaster.ac.uk.,,,146th in the QS World Rankings,PG,0,0,6528 Euro,15000 euro,"Accounting & Finance, Business Management, Computer Science,Software Engineeering","Academic Requirement:60%-UG, 65%-PG, IELTS:6.0, 75% English ",,Fixed,"19,138.00",Nil,Nil,EURO,Null,Inclusive,CourseFees
,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
